Area Name,State,Region,NPS Fee Acres,NPS Less Than Fee Acres,Other Federal Fee Acres,Subtotal Federal Acres,Other Public Acres,Private Acres,Subtotal Non-Federal Acres,Gross Area Acres,,,
A LINCOLN BIRTHPL NHP,KY,SER,344.50,0.00,0.00,344.50,0.00,0.00,0.00,344.50,,,
ACADIA NP,ME,NER,"37,438.18","10,707.90",24.27,"48,170.35",48.22,856.69,904.91,"49,075.26",,,
ADAMS NHP,MA,NER,9.17,0.00,0.00,9.17,4.00,10.65,14.65,23.82,,,
AFRICAN BURIAL GROUND NM,NY,NER,0.35,0.00,0.00,0.35,0.00,0.00,0.00,0.35,,,
AGATE FOSSIL BEDS NM,NE,MWR,"2,270.33",459.75,0.00,"2,730.08",24.43,303.36,327.79,"3,057.87",,,
ALAGNAK WILD RVR,AK,AKR,"26,417.85",0.00,0.00,"26,417.85","2,265.00","1,981.94","4,246.94","30,664.79",,,
ALIBATES FLINT QUARRIES N,TX,IMR,"1,079.23",0.00,0.00,"1,079.23",0.00,291.74,291.74,"1,370.97",,,
ALLEGHENY PRTGE RR NHS,PA,NER,"1,255.02",0.00,0.00,"1,255.02",16.25,13.00,29.25,"1,284.27",,,
AMISTAD NRA,TX,IMR,"57,292.44",0.00,0.00,"57,292.44",0.00,"1,207.56","1,207.56","58,500.00",,,
ANDERSONVILLE NHS,GA,SER,499.88,1.00,0.00,500.88,7.89,6.84,14.73,515.61,,,
ANDREW JOHNSON NHS,TN,SER,16.68,0.00,0.00,16.68,0.00,0.00,0.00,16.68,,,
ANIAKCHAK N PRESERVE,AK,AKR,"458,809.35",0.00,0.00,"458,809.35","5,147.00",161.58,"5,308.58","464,117.93",,,
ANIAKCHAK NM,AK,AKR,"137,176.00",0.00,0.00,"137,176.00",0.00,0.00,0.00,"137,176.00",,,
ANTIETAM NB,MD,NCR,"1,943.11",799.99,0.00,"2,743.10",20.98,464.81,485.79,"3,228.89",,,
APOSTLE ISLANDS NL,WI,MWR,"42,160.70",0.00,0.00,"42,160.70","27,216.73",0.00,"27,216.73","69,377.43",,,
APPALACHIAN NS TRAIL,ME TO GA 4/,NER,"107,288.86","14,685.44","58,264.08","180,238.38","49,294.96","10,071.30","59,366.26","239,604.64",,,
APPOMATTOX CRT HS NHP,VA,NER,"1,695.29",0.00,0.00,"1,695.29",2.12,77.19,79.31,"1,774.60",,,
ARCHES NP,UT,IMR,"76,545.95",0.00,0.00,"76,545.95",133.03,0.00,133.03,"76,678.98",,,
ARKANSAS POST NMEM,AR,MWR,649.91,0.00,14.00,663.91,0.00,93.60,93.60,757.51,,,
"ARL HOUSE, R E LEE MEM",VA,NCR,28.08,0.00,0.00,28.08,0.00,0.00,0.00,28.08,,,
ASSATEAGUE ISLAND NS,MD-VA 2/,NER,"8,983.42",102.16,"9,842.69","18,928.27","22,389.33",28.90,"22,418.23","41,346.50",,,
AZTEC RUINS NM,NM,IMR,266.78,0.00,0.00,266.78,6.78,44.84,51.62,318.40,,,
BADLANDS NP,SD,MWR,"111,487.63","122,321.50",0.00,"233,809.13",39.24,"8,907.57","8,946.81","242,755.94",,,
BANDELIER NM,NM,IMR,"33,654.44",0.00,0.00,"33,654.44",0.00,22.23,22.23,"33,676.67",,,
BELMONT-PAUL WOMENS EQLTY NM,DC,NCR,0.34,0.00,0.00,0.34,0.00,0.00,0.00,0.34,,,
BENT'S OLD FORT NHS,CO,IMR,735.60,0.00,0.00,735.60,7.40,55.80,63.20,798.80,,,
BERING LAND BRIDGE N PRES,AK,AKR,"2,651,327.60",0.00,0.00,"2,651,327.60",0.00,"46,063.41","46,063.41","2,697,391.01",,,
BIG BEND NP,TX,IMR,"775,273.38",0.00,0.00,"775,273.38","2,606.87","23,282.96","25,889.83","801,163.21",,,
BIG CYPRESS ADDITION,FL 5/,SER,"141,516.97",0.00,0.00,"141,516.97","3,541.14","1,052.58","4,593.72","146,110.69",,,
BIG CYPRESS N PRESERVE,FL 5/,SER,"535,794.83",0.00,0.00,"535,794.83","37,814.36",844.13,"38,658.49","574,453.32",,,
BIG HOLE NB,MT,PWR,655.61,0.00,0.00,655.61,0.00,320.00,320.00,975.61,,,
BIG SOUTH FORK NR & RA,KY-TN,SER,"114,778.57",34.45,0.00,"114,813.02","2,845.50","6,035.58","8,881.08","123,694.10",,,
BIG THICKET N PRESERVE,TX,IMR,"108,616.11",13.38,0.00,"108,629.49","3,465.11","1,027.36","4,492.47","113,121.96",,,
BIGHORN CANYON NRA,MT-WY,IMR,"47,986.04",889.89,"19,614.94","68,490.87","1,392.29","50,413.06","51,805.35","120,296.22",,,
BIRMINGHAM CIVIL RIGHTS NM,AL,SER,0.23,0.65,0.00,0.88,0.00,0.00,0.00,0.88,,,
BISCAYNE NP,FL,SER,"171,376.96",0.00,18.45,"171,395.41","1,215.85",359.85,"1,575.70","172,971.11",,,
BLACK CANYON OF GUNNISON,CO,IMR,"29,828.28",901.92,0.00,"30,730.20",16.36,33.27,49.63,"30,779.83",,,
BLACKSTONE RIVER VALLEY NHP,MA-RI,NER,0.00,0.00,0.00,0.00,0.00,"1,489.00","1,489.00","1,489.00",,,
BLUE RIDGE PKWY,NC-VA,SER,"85,735.20","2,775.57",125.00,"88,635.77",259.58,"10,015.17","10,274.75","98,910.52",,,
BLUESTONE NSR,WV,NER,"3,032.00",0.00,0.00,"3,032.00","1,236.00",41.51,"1,277.51","4,309.51",,,
BOOKER T WASHINGTON NM,VA,NER,239.01,0.00,0.00,239.01,0.00,0.00,0.00,239.01,,,
BOSTON AFRI-AMER NHS,MA,NER,0.00,0.00,0.00,0.00,0.06,0.53,0.59,0.59,,,
BOSTON HARBOR ISLAND NRA,MA,NER,0.06,240.51,5.00,245.57,988.74,248.00,"1,236.74","1,482.31",,,
BOSTON NHP,MA,NER,37.96,0.00,0.00,37.96,5.09,0.77,5.86,43.82,,,
BRICES CROSS RDS NBS,MS,SER,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,,,
BROWN V. BD OF ED. NHS,KS,MWR,1.85,0.00,0.00,1.85,0.00,0.00,0.00,1.85,,,
BRYCE CANYON NP,UT,IMR,"35,832.58",0.00,0.00,"35,832.58",0.00,2.50,2.50,"35,835.08",,,
BUCK ISLAND REEF NM,VI,SER,880.00,0.00,"18,135.47","19,015.47",0.00,0.00,0.00,"19,015.47",,,
BUFFALO N RVR,AR,MWR,"88,379.34","3,427.70",0.00,"91,807.04","2,367.91",118.36,"2,486.27","94,293.31",,,
C & O CANAL NHP,MD-DC-WV,NCR,"13,156.94","1,308.25",0.00,"14,465.19","3,173.62","1,973.56","5,147.18","19,612.37",,,
CABRILLO NM,CA,PWR,159.94,0.00,0.00,159.94,0.00,0.00,0.00,159.94,,,
CAMP NELSON NM,KY,SER,380.12,0.00,0.00,380.12,0.00,0.00,0.00,380.12,,,
CANAVERAL NS,FL,SER,"17,735.69",0.00,"39,912.00","57,647.69",0.00,14.00,14.00,"57,661.69",,,
CANE RIVER CREOLE NHP,LA,SER,62.39,0.00,0.00,62.39,4.64,138.47,143.11,205.50,,,
CANYON DE CHELLY NM,AZ,IMR,0.00,0.00,0.00,0.00,0.00,"83,840.00","83,840.00","83,840.00",,,
CANYONLANDS NP,UT,IMR,"337,269.40",301.03,0.00,"337,570.43",27.40,0.00,27.40,"337,597.83",,,
CAPE COD NS,MA,NER,"27,114.30",403.64,31.86,"27,549.80","14,556.22","1,502.28","16,058.50","43,608.30",,,
CAPE HATTERAS NS,NC,SER,"24,470.10",0.00,"5,880.00","30,350.10",0.00,0.55,0.55,"30,350.65",,,
CAPE KRUSENSTERN NM,AK,AKR,"617,355.14","10,033.51",0.00,"627,388.65",353.00,"21,354.50","21,707.50","649,096.15",,,
CAPE LOOKOUT NS,NC,SER,"13,915.70","11,243.40",14.52,"25,173.62","3,048.16",21.58,"3,069.74","28,243.36",,,
CAPITOL REEF NP,UT,IMR,"241,223.33",0.00,0.00,"241,223.33",681.17,0.00,681.17,"241,904.50",,,
CAPULIN VOLCANO NM,NM,IMR,792.84,0.00,0.00,792.84,0.00,0.00,0.00,792.84,,,
CARL SANDBURG HOME NHS,NC,SER,263.52,0.00,0.00,263.52,0.00,4.97,4.97,268.49,,,
CARLSBAD CAVERNS NP,NM,IMR,"46,427.26",0.00,0.00,"46,427.26",0.00,339.19,339.19,"46,766.45",,,
CARTER G. WOODSON NHS,DC,NCR,0.15,0.00,0.00,0.15,0.00,0.00,0.00,0.15,,,
CASA GRANDE RUINS NM,AZ,IMR,472.50,0.00,0.00,472.50,0.00,0.00,0.00,472.50,,,
CASTILLO DE SAN MARCOS NM,FL,SER,19.31,0.00,0.00,19.31,0.06,0.01,0.07,19.38,,,
CASTLE CLINTON NM,NY,NER,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,,,
CASTLE MOUNTAINS NM,CA,PWR,"20,902.00",0.00,0.00,"20,902.00",106.00,17.50,123.50,"21,025.50",,,
CATOCTIN MT PARK,MD,NCR,"5,890.36",0.00,0.00,"5,890.36",0.00,1.13,1.13,"5,891.49",,,
CEDAR BREAKS NM,UT,IMR,"6,154.60",0.00,0.00,"6,154.60",0.00,0.00,0.00,"6,154.60",,,
CEDAR CREEK/BELLE GROVE NHP,VA,NER,109.16,0.00,0.00,109.16,21.09,"3,576.84","3,597.93","3,707.09",,,
CÉSAR E. CHÁVEZ NM,CA,PWR,1.90,8.60,0.00,10.50,0.00,106.06,106.06,116.56,,,
CHACO CULTURE NHP,NM,IMR,"32,840.14",0.00,0.00,"32,840.14",0.00,"1,120.05","1,120.05","33,960.19",,,
CHAMIZAL NMEM,TX,IMR,54.90,0.00,0.00,54.90,0.00,0.00,0.00,54.90,,,
CHANNEL ISLANDS NP,CA,PWR,"69,425.66",0.00,"9,592.96","79,018.62","124,554.15","45,988.23","170,542.38","249,561.00",,,
CHARLES PINCKNEY NHS,SC,SER,28.45,0.00,0.00,28.45,0.00,0.00,0.00,28.45,,,
CHARLES YOUNG BUFF SOLDRS NM,OH,MWR,59.66,0.00,0.00,59.66,0.00,0.00,0.00,59.66,,,
CHATTAHOOCHEE RVR NRA,GA,SER,"5,048.60",154.95,0.00,"5,203.55","3,265.02","2,785.57","6,050.59","11,254.14",,,
CHICK & CHATT NMP,GA-TN,SER,"9,420.08",12.89,0.00,"9,432.97",27.86,62.65,90.51,"9,523.48",,,
CHICKASAW NRA,OK,IMR,"9,695.79",9.20,189.14,"9,894.13",4.50,0.00,4.50,"9,898.63",,,
CHIRICAHUA NM,AZ,IMR,"12,022.38",0.00,0.00,"12,022.38",0.00,2.35,2.35,"12,024.73",,,
CHRISTIANSTED NHS,VI,SER,26.24,0.00,0.00,26.24,0.91,0.00,0.91,27.15,,,
