,ParkName,ParkType,Region,State,Year,Month,RecreationVisits,RecreationHours,TentCampers,RVCampers,Backcountry,RecreationVisitsTotal,RecreationHoursTotal,TentCampersTotal,RVCampersTotal,BackcountryTotal
383,Acadia NP,National Park,Northeast ,ME,2010,12,9544,57262,0,0,0,2504208,12827516,121287,28821,974
395,Acadia NP,National Park,Northeast ,ME,2011,12,11343,68057,0,0,0,2374645,12101384,117879,27519,1157
407,Acadia NP,National Park,Northeast ,ME,2012,12,11307,67843,0,0,0,2431052,12458831,124482,26760,1316
419,Acadia NP,National Park,Northeast ,ME,2013,12,7540,45242,60,0,0,2254922,11347331,114753,29025,1166
431,Acadia NP,National Park,Northeast ,ME,2014,12,13510,81058,0,0,0,2563129,13085317,126474,33369,1230
443,Acadia NP,National Park,Northeast ,ME,2015,12,13880,83282,0,0,0,2811184,14452151,135000,32094,1233
455,Acadia NP,National Park,Northeast ,ME,2016,12,14111,84665,0,0,0,3303393,22698596,152811,46629,1324
467,Acadia NP,National Park,Northeast ,ME,2017,12,12084,72504,0,0,0,3509271,24014370,152586,55812,1597
479,Acadia NP,National Park,Northeast ,ME,2018,12,12692,76154,0,0,0,3537575,23613754,144744,58215,1472
491,Acadia NP,National Park,Northeast ,ME,2019,12,12865,77191,0,0,0,3437286,23195664,140985,57696,1284
875,Arches NP,National Park,Intermountain ,UT,2010,12,12938,50608,370,113,9,1014405,4173920,23616,15478,923
887,Arches NP,National Park,Intermountain ,UT,2011,12,15562,64541,490,242,12,1040758,4344187,26264,16643,1192
899,Arches NP,National Park,Intermountain ,UT,2012,12,18302,62855,218,113,0,1070577,4397956,27002,14742,851
911,Arches NP,National Park,Intermountain ,UT,2013,12,20924,68753,149,98,2,1082866,4432558,27705,14431,953
923,Arches NP,National Park,Intermountain ,UT,2014,12,26511,93622,338,154,11,1284767,5005854,25252,15436,1211
935,Arches NP,National Park,Intermountain ,UT,2015,12,27273,96228,319,271,10,1399247,5420170,27158,16565,1208
947,Arches NP,National Park,Intermountain ,UT,2016,12,33290,112944,408,137,0,1585718,6049250,28046,18658,1174
959,Arches NP,National Park,Intermountain ,UT,2017,12,44325,141697,202,161,1,1539028,4672677,1426,826,65
971,Arches NP,National Park,Intermountain ,UT,2018,12,41879,136735,242,216,4,1663557,5906859,17938,16157,368
983,Arches NP,National Park,Intermountain ,UT,2019,12,39381,132524,281,230,2,1659702,5912819,17523,16290,405
1367,Badlands NP,National Park,Midwest ,SD,2010,12,8150,32334,4,0,0,977778,4251417,3542,783,1658
1379,Badlands NP,National Park,Midwest ,SD,2011,12,12511,48854,0,0,5,870741,3930808,2645,464,1578
1391,Badlands NP,National Park,Midwest ,SD,2012,12,12412,49220,23,0,7,883406,3955172,2182,350,979
1403,Badlands NP,National Park,Midwest ,SD,2013,12,8002,31571,19,11,0,892372,4158056,9318,2071,1429
1415,Badlands NP,National Park,Midwest ,SD,2014,12,10820,42488,0,19,5,868094,4106567,8622,2740,1419
1427,Badlands NP,National Park,Midwest ,SD,2015,12,12790,50259,0,0,24,989354,4531214,4627,856,1445
